user;timestamp;cpu;ram;disco
bob;2025-08-18 10:00:00;42.6;41.0;53.4
bob;2025-08-18 10:00:10;63.6;51.9;31.1
bob;2025-08-18 10:00:20;71.4;55.4;40.5
bob;2025-08-18 10:00:30;70.9;75.4;33.3
bob;2025-08-18 10:00:40;52.0;42.8;63.0
bob;2025-08-18 10:00:50;43.5;66.2;53.2
bob;2025-08-18 10:01:00;11.3;57.5;22.8
bob;2025-08-18 10:01:10;42.8;75.9;32.3
bob;2025-08-18 10:01:20;45.5;68.0;63.9
bob;2025-08-18 10:01:30;38.5;54.2;40.5
bob;2025-08-18 10:01:40;45.4;33.3;61.2
bob;2025-08-18 10:01:50;18.5;62.1;33.6
bob;2025-08-18 10:02:00;47.2;73.0;24.5
bob;2025-08-18 10:02:10;38.9;70.1;55.9
bob;2025-08-18 10:02:20;78.4;64.0;29.4
bob;2025-08-18 10:02:30;66.0;44.5;61.0
bob;2025-08-18 10:02:40;58.2;30.9;44.1
bob;2025-08-18 10:02:50;34.6;36.9;33.1
bob;2025-08-18 10:03:00;14.5;44.2;53.5
bob;2025-08-18 10:03:10;29.4;71.6;69.3
bob;2025-08-18 10:03:20;88.0;40.6;20.7
bob;2025-08-18 10:03:30;82.0;65.3;30.8
bob;2025-08-18 10:03:40;69.9;77.2;48.9
bob;2025-08-18 10:03:50;57.2;43.1;32.1
bob;2025-08-18 10:04:00;57.3;40.7;57.9
bob;2025-08-18 10:04:10;58.1;42.6;37.4
bob;2025-08-18 10:04:20;17.8;34.1;26.8
bob;2025-08-18 10:04:30;43.2;72.2;27.7
bob;2025-08-18 10:04:40;71.0;46.8;62.8
bob;2025-08-18 10:04:50;40.4;44.7;61.6
bob;2025-08-18 10:05:00;31.6;70.6;31.4
bob;2025-08-18 10:05:10;73.5;69.9;54.8
bob;2025-08-18 10:05:20;60.2;58.8;61.7
bob;2025-08-18 10:05:30;88.4;55.8;47.0
bob;2025-08-18 10:05:40;21.9;49.7;51.2
bob;2025-08-18 10:05:50;86.8;66.9;54.3
bob;2025-08-18 10:06:00;81.3;71.7;49.0
bob;2025-08-18 10:06:10;32.9;47.3;41.9
bob;2025-08-18 10:06:20;47.7;38.9;20.4
bob;2025-08-18 10:06:30;75.6;37.4;63.8
bob;2025-08-18 10:06:40;58.4;35.3;68.9
bob;2025-08-18 10:06:50;56.3;43.7;29.1
bob;2025-08-18 10:07:00;53.0;53.7;54.5
bob;2025-08-18 10:07:10;78.1;36.4;22.6
bob;2025-08-18 10:07:20;23.7;60.2;65.2
bob;2025-08-18 10:07:30;13.3;39.8;50.5
bob;2025-08-18 10:07:40;69.9;32.7;48.1
