user;timestamp;cpu;ram;disco
dan;2025-08-18 10:00:00;77.4;78.2;29.9
dan;2025-08-18 10:00:10;75.3;41.1;66.4
dan;2025-08-18 10:00:20;28.4;48.4;47.1
dan;2025-08-18 10:00:30;66.1;54.4;40.2
dan;2025-08-18 10:00:40;46.7;57.9;45.1
dan;2025-08-18 10:00:50;83.0;54.2;63.1
dan;2025-08-18 10:01:00;31.0;72.0;27.3
dan;2025-08-18 10:01:10;85.6;74.9;40.5
dan;2025-08-18 10:01:20;45.7;50.3;52.2
dan;2025-08-18 10:01:30;72.8;47.3;36.3
dan;2025-08-18 10:01:40;84.3;45.6;59.8
dan;2025-08-18 10:01:50;76.4;52.0;26.2
dan;2025-08-18 10:02:00;15.3;62.1;20.9
dan;2025-08-18 10:02:10;75.7;60.7;33.0
dan;2025-08-18 10:02:20;19.1;62.7;47.0
dan;2025-08-18 10:02:30;33.5;76.0;23.1
dan;2025-08-18 10:02:40;13.9;69.7;41.6
dan;2025-08-18 10:02:50;58.4;77.7;39.8
dan;2025-08-18 10:03:00;26.7;62.8;25.7
dan;2025-08-18 10:03:10;22.8;44.0;25.2
dan;2025-08-18 10:03:20;10.9;61.8;45.6
dan;2025-08-18 10:03:30;29.9;59.8;32.4
dan;2025-08-18 10:03:40;24.4;31.2;43.0
dan;2025-08-18 10:03:50;51.0;66.8;43.8
dan;2025-08-18 10:04:00;16.5;72.8;52.1
dan;2025-08-18 10:04:10;23.9;56.2;28.9
dan;2025-08-18 10:04:20;30.3;69.3;45.5
dan;2025-08-18 10:04:30;65.9;33.6;26.2
dan;2025-08-18 10:04:40;45.5;30.1;68.7
dan;2025-08-18 10:04:50;12.8;38.4;43.8
dan;2025-08-18 10:05:00;74.6;40.7;38.7
