user;timestamp;cpu;ram;disco
mel;2025-08-18 10:00:00;52.5;75.7;33.2
mel;2025-08-18 10:00:10;60.1;64.3;37.0
mel;2025-08-18 10:00:20;67.3;70.0;66.3
mel;2025-08-18 10:00:30;53.9;56.5;67.1
mel;2025-08-18 10:00:40;85.7;79.7;23.4
mel;2025-08-18 10:00:50;52.7;53.4;56.5
mel;2025-08-18 10:01:00;74.7;32.7;50.3
mel;2025-08-18 10:01:10;75.2;38.6;55.4
mel;2025-08-18 10:01:20;47.6;30.0;28.1
mel;2025-08-18 10:01:30;63.5;32.6;24.4
mel;2025-08-18 10:01:40;29.2;72.4;22.0
mel;2025-08-18 10:01:50;12.7;70.2;66.9
mel;2025-08-18 10:02:00;46.5;33.6;24.2
mel;2025-08-18 10:02:10;82.8;58.6;65.7
mel;2025-08-18 10:02:20;25.7;74.5;48.2
mel;2025-08-18 10:02:30;34.9;41.8;42.6
mel;2025-08-18 10:02:40;15.5;41.3;37.5
mel;2025-08-18 10:02:50;67.4;71.6;49.7
mel;2025-08-18 10:03:00;76.7;75.0;50.5
mel;2025-08-18 10:03:10;20.2;61.8;43.9
mel;2025-08-18 10:03:20;55.2;30.9;30.4
mel;2025-08-18 10:03:30;13.9;50.9;55.3
mel;2025-08-18 10:03:40;49.4;33.5;52.3
mel;2025-08-18 10:03:50;56.5;48.5;38.4
mel;2025-08-18 10:04:00;58.4;61.7;52.2
mel;2025-08-18 10:04:10;15.5;68.6;55.3
mel;2025-08-18 10:04:20;16.8;37.3;22.1
mel;2025-08-18 10:04:30;12.4;73.2;38.2
mel;2025-08-18 10:04:40;45.1;76.8;66.8
mel;2025-08-18 10:04:50;13.1;35.2;67.8
mel;2025-08-18 10:05:00;22.8;39.9;68.8
mel;2025-08-18 10:05:10;72.6;33.7;43.3
mel;2025-08-18 10:05:20;52.2;58.1;26.9
mel;2025-08-18 10:05:30;43.4;33.0;42.6
mel;2025-08-18 10:05:40;66.0;73.2;41.1
