user;timestamp;cpu;ram;disco
tom;2025-08-18 10:00:00;44.8;65.2;31.2
tom;2025-08-18 10:00:10;58.3;31.0;60.1
tom;2025-08-18 10:00:20;33.7;35.8;67.6
tom;2025-08-18 10:00:30;17.3;74.3;62.1
tom;2025-08-18 10:00:40;62.2;36.3;63.1
tom;2025-08-18 10:00:50;17.3;62.5;59.1
tom;2025-08-18 10:01:00;80.3;56.4;39.0
tom;2025-08-18 10:01:10;43.3;64.0;41.9
tom;2025-08-18 10:01:20;51.2;67.0;42.7
tom;2025-08-18 10:01:30;49.0;74.5;64.9
tom;2025-08-18 10:01:40;69.5;38.1;66.6
tom;2025-08-18 10:01:50;54.4;63.2;26.0
tom;2025-08-18 10:02:00;37.1;42.5;41.7
tom;2025-08-18 10:02:10;37.8;30.5;69.0
tom;2025-08-18 10:02:20;25.9;68.0;23.2
tom;2025-08-18 10:02:30;34.8;46.8;36.6
tom;2025-08-18 10:02:40;22.8;56.0;41.2
tom;2025-08-18 10:02:50;27.5;54.6;35.5
tom;2025-08-18 10:03:00;74.5;74.6;38.2
tom;2025-08-18 10:03:10;66.2;43.6;35.7
tom;2025-08-18 10:03:20;71.7;76.4;35.3
tom;2025-08-18 10:03:30;57.9;78.9;39.3
tom;2025-08-18 10:03:40;28.3;79.9;46.5
tom;2025-08-18 10:03:50;72.9;74.0;30.9
tom;2025-08-18 10:04:00;72.6;43.3;32.1
tom;2025-08-18 10:04:10;53.7;36.8;68.4
tom;2025-08-18 10:04:20;38.2;31.3;22.3
tom;2025-08-18 10:04:30;60.0;60.6;36.5
tom;2025-08-18 10:04:40;13.9;57.2;41.3
tom;2025-08-18 10:04:50;82.5;62.3;45.7
tom;2025-08-18 10:05:00;29.8;72.7;34.1
tom;2025-08-18 10:05:10;32.5;73.0;31.3
tom;2025-08-18 10:05:20;83.3;33.2;55.7
tom;2025-08-18 10:05:30;27.9;65.6;46.1
tom;2025-08-18 10:05:40;35.0;61.1;53.9
tom;2025-08-18 10:05:50;58.7;76.3;34.4
tom;2025-08-18 10:06:00;19.2;75.4;33.1
tom;2025-08-18 10:06:10;25.0;45.6;53.6
tom;2025-08-18 10:06:20;54.8;77.5;32.9
tom;2025-08-18 10:06:30;27.7;40.6;59.9
tom;2025-08-18 10:06:40;59.6;32.5;61.1
