RA,Entrega 01,Entrega 02,Entrega 03,Integrada,Pratica
RA012,8.4,10.0,6.1,5.4,8.5
RA029,9.5,10.0,7.1,9.3,9.68
RA003,9.0,10.0,7.5,7.3,9.77
RA021,7.5,10.0,7.9,6.3,7.5
RA002,9.5,10.0,10.0,8.7,9
RA023,9.0,10.0,10.0,5.5,8.18
RA014,8.4,10.0,7.1,7.5,8.86
RA032,9.0,10.0,8.2,7.8,9.32
RA009,6.5,10.0,9.3,4.1,6.95
RA052,9.5,10.0,10.0,7.8,9.32
RA028,8.5,10.0,5.0,5.3,9.14
RA031,9.5,10.0,10.0,8.3,10
RA039,7.3,10.0,7.9,5.4,7.5
RA034,9.5,10.0,8.9,8.1,9.5
RA027,7.0,10.0,5.4,6.8,9.32
RA004,8.5,10.0,4.3,8.3,8.75
RA044,9.0,10.0,9.3,7.9,9.55
RA008,9.4,10.0,10.0,6.0,9.32
RA011,8.0,10.0,6.4,7.7,9.77
RA018,8.5,10.0,6.1,7.0,7.73
RA035,9.5,10.0,8.9,7.6,9.59
RA026,9.0,10.0,8.2,9.2,10
RA015,9.5,10.0,8.9,8.7,9.77
RA020,10.0,10.0,8.6,7.8,9.23
RA030,7.5,10.0,9.3,7.7,10
RA055,9.3,10.0,7.1,6.3,8.18
RA001,10.0,10.0,10.0,8.7,9.77
RA053,9.5,10.0,10.0,7.1,9.77
RA033,8.5,10.0,9.6,7.3,9.09
RA024,10.0,10.0,8.2,8.4,9.55
RA060,9.5,10.0,7.9,8.1,10
RA013,8.0,10.0,8.9,5.4,7.23
RA047,0.0,10.0,10.0,9.4,9.77
RA019,8.4,10.0,6.8,6.5,9.32
RA037,7.8,10.0,7.9,6.9,8.64
RA045,9.4,10.0,8.6,7.7,8.86
RA048,9.0,10.0,8.6,7.6,8.41
RA050,10.0,10.0,8.2,7.2,9.59
RA016,8.5,10.0,8.9,8.4,9.77
RA040,7.4,10.0,10.0,5.7,8.68
RA006,9.5,10.0,7.1,7.7,7.36
RA017,8.5,10.0,8.9,8.1,9.66
RA038,8.5,10.0,4.6,6.3,7.64
RA042,7.7,10.0,6.8,7.4,8.23
RA049,8.0,10.0,6.4,9.2,9.32
RA059,8.5,10.0,8.9,7.5,6.7
RA010,10.0,10.0,7.5,8.1,9.77
RA022,8.5,10.0,8.2,6.8,9.2
RA041,9.0,10.0,8.2,6.2,9.32
RA056,9.0,10.0,7.9,8.4,8.86
RA057,9.0,10.0,8.6,8.3,9.45
RA058,7.0,10.0,7.9,6.5,9.77
RA063,9.5,10.0,7.5,6.0,9.14
RA043,9.5,10.0,6.4,6.4,10
RA051,9.0,10.0,8.2,7.2,8.68
RA005,9.4,10.0,8.2,7.5,9.77
RA007,8.5,10.0,8.6,6.6,8.77
RA025,9.5,10.0,10.0,8.9,10
RA036,8.0,10.0,7.9,5.5,8.18
RA046,9.5,10.0,8.2,8.4,9.32
